Party,List,Rank,Name,Surname,Organisation,Position Title,Start Date,End Date,Place Name
AFRICAN NATIONAL CONGRESS,Regional: Western Cape,8,ANDREW FRANS,MADELLA,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,1,JAMES,SELFE,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,2,WILMOT GODFREY,JAMES,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,3,GEORDIN GWYN,HILL-LEWIS,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,4,TIMOTHY DUNCAN,HARRIS,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,5,ZAKHELE NJABULO,MBHELE,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,6,ARCHIBOLD MZUVUKILE,FIGLAN,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,7,MICHAEL,BAGRAIM,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,8,ERIK JOHANNES,MARAIS,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,9,LUNGISWA VERONICA,JAMES,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,10,SAREL JACOBUS FRANCOIS,MARAIS,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,11,SHAHID,ESAU,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,12,CHRISTIAN HANS HEINRICH,HUNSINGER,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,13,ANDRICUS PIETER,VAN DER WESTHUIZEN,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
DEMOCRATIC ALLIANCE,Regional: Western Cape,14,THEMBEKILE RICHARD,MAJOLA,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
ECONOMIC FREEDOM FIGHTERS,Regional: Western Cape,1,BERNARD DANIEL,JOSEPH,National Assembly,Member-elect,2014-05-16,2014-05-21,Western Cape
