current_name,correct_name,lga_areas
Isala Ngwa North/south,Isala Ngwa North / south,"Isiala Ngwa North, Isiala Ngwa South"
Ayamelum / Oyi,Ayamelum / Oyi,"Ayamelum, Oyi"
Nnewi North / South & Ekwusigo,Nnewi North / South & Ekwusigo,"Nnewi North, Nnewi South, Ekwusigo"
Anambra East/West,Anambra East / West,"Anambra East, Anambra West"
Gwer East/Gwer West,Gwer East / Gwer West,"Gwer East, GwerWest"
Boki/Ikom,Boki / Ikom,"Boki, Ikom"
EHIME/IHITTE UBOMA/OBONO,EHIME / IHITTE UBOMA / OBONO,"EHIME, IHITTE UBOMA, OBONO"
NKWERRE/NWANGELE/ISU/NJABA,NKWERRE / NWANGELE / ISU / NJABA,"Nkwerre, Nwangele, Isu, Njaba"
Awka North & South,Awka North & South,"AwkaNort, IkaSouth"
Aboh Mbaise/Ngor Okpala Federal Consistuency,Aboh Mbaise / Ngor Okpala Federal Consistuency,"Aboh-Mba, Ngor-Okp"
Onitsha North/South Federal,Onitsha North / South Federal,"Onitsha North, Onitsha South"
Opobo / Nkoro,Opobo / Nkoro,"Opobo, Nkoro"
KAURA - NAMODA/BIRNIN MAGAJI,KAURA - NAMODA / BIRNIN MAGAJI,"Kaura - NAMODA, Birnin-Magaji/Kiyaw"
Etinan,Etinan,Etinan
AKAMKPA/BIASE,AKAMKPA / BIASE,"Akamkpa, Biase"
Warri North/Warri South/Warri West,Warri North / Warri South / Warri West,"Warri North, Warri South, Warri West"
MUSAWA/MATAZU,MUSAWA / MATAZU,"Musawa, Matazu"
AKWANGA/WAMBA/NASARAWA EGGON,AKWANGA / WAMBA / NASARAWA EGGON,"Akwanga, Wamba, Nassaraw Egon"
Akuku - Toru/Asari - Toru,Akuku - Toru / Asari - Toru,"Akukutor, Asari-To"
Akoko South East/South Wes,Akoko South East / South Wes,"Akoko South-East, Akoko South-West"
IDEATO NORTH/SOUTH,IDEATO NORTH / SOUTH,"IdeatoNo, Ideato South"
Ethiope,Ethiope,EthiopeE
Abak/Etim Ekpo & Ika,Abak / Etim Ekpo & Ika,"Abak, EtimEkpo, Ika"
Uyo,Uyo,Uyo
Ukanafun/Orukaanam,Ukanafun / Orukaanam,"Ukanafun, Oruk-Ana"
MAKURDI/GUMA,MAKURDI / GUMA,"Makurdi, Guma"
PANKSHIN/KANKE/KANAM,PANKSHIN / KANKE / KANAM,"Pankshin, Kanke, Kanam"
Buruku,Buruku,Buruku
Katsina-Ala Ukum Logo,Katsina-Ala Ukum Logo,Katsina (Gwiwa) (Benue)
Burutu,Burutu,Burutu
Calabar South/Akpabuyo/Bakassi,Calabar South / Akpabuyo / Bakassi,"Calabar South, Akpabuyo, Bakassi"
Yakurr/Abi,Yakurr / Abi,"Yakurr, Abi"
OWERRI MINICIPAL/NORTH/WEST,OWERRI MINICIPAL / NORTH / WEST,"Owerri Municipal, Owerri North, Owerri West"
Obingwa/osisioma/Ugwumagbo,Obingwa / osisioma / Ugwumagbo,"Obingwa, osisioma, Ugwunagbo"
